case_id,status,retries,validation_checks,warnings,error
AG_ERR_039,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': True}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Dosage Accuracy Check: Dosage 168mg outside acceptable range of 500mg (±10%)
PSB_ERR_033,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': False}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Drug Validity Check: Drug 'ciprofloxacin' not found in ICMR first-line or alternative recommendations
CLB_ERR_047,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Dosage Accuracy Check: Dosage 24 mg/kg outside acceptable range of 15 mg/kg (±10%)
PI(_ERR_031,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': True}, {'check': 'Duration Check', 'passed': True}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Dosage Accuracy Check: Dosage 2mg/kg/dose (max 600 mg/dose) outside acceptable range of 10mg/kg/dose (max 600 mg/dose) (±10%)
AAD_ERR_044,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': False}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': True}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Drug Validity Check: Drug 'ampicillin' not found in ICMR first-line or alternative recommendations
FNS_ERR_040,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Dosage Accuracy Check: Dosage 11 mg/kg loading and 15 mg/kg outside acceptable range of 25 mg/kg loading and 15 mg/kg (±10%)
SSTI_ERR_049,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': True}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Duration Check: Duration 1-2 days differs significantly from guideline 3 to 7 days
DI_ERR_035,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': True}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Duration Check: Duration 1-2 days differs significantly from guideline 5 days
UTI_ERR_037,success,1,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]","Drug Validity Check: Drug 'ampicillin' not in ICMR list but justified in reasoning, Dosage Accuracy Check: Drug not found in guidelines for dosage comparison, Pathogen-Drug Link Check: No pathogens listed in ICMR guidelines for this syndrome, Duration Check: No guideline duration available for comparison",
SSTI_027,success,0,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]","Drug Validity Check: Drug 'mupirocin' not in ICMR list but justified in reasoning, Dosage Accuracy Check: Could not parse dosage: 2%, Pathogen-Drug Link Check: No pathogens listed in ICMR guidelines for this syndrome, Duration Check: No guideline duration available for comparison",
IE_010,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': True}, {'check': 'Pathogen-Drug Link Check', 'passed': True}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Duration Check: Duration 4-6 weeks differs significantly from guideline 6 weeks
CSI_ERR_041,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': False}, {'check': 'Pathogen-Drug Link Check', 'passed': False}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Dosage Accuracy Check: Dosage 10 mg/kg outside acceptable range of 25 mg/kg (±10%)
BA_ERR_042,failed,2,"[{'check': 'Guideline Reference Check', 'passed': True}, {'check': 'Drug Validity Check', 'passed': True}, {'check': 'Dosage Accuracy Check', 'passed': True}, {'check': 'Pathogen-Drug Link Check', 'passed': True}, {'check': 'Duration Check', 'passed': False}, {'check': 'Reasoning Completeness Check', 'passed': True}]",,Duration Check: Duration 1-2 days differs significantly from guideline 3-12 weeks
